orderid,Customer Name,shipmode,sales,quantity,discount,profit,segment,region,state,subcategory,category,preparationtime,orderdate,shipdate
2,Ruben Dartt,Standard Class,411.332,4,0.15,-4.8392,Consumer,West,California,Bookcases                                         ,Furniture,4,2014-09-05,2014-09-09
4,Liz Pelletier,First Class,241.96,2,0.0,33.8744,Consumer,South,Louisiana,Bookcases                                         ,Furniture,1,2016-05-30,2016-05-31
5,Liz Pelletier,Standard Class,341.96,2,0.0,78.6508,Home Office,East,Rhode Island,Bookcases                                         ,Furniture,7,2013-12-31,2014-01-07
6,Liz Pelletier,First Class,359.058,3,0.3,-35.9058,Home Office,Central,Illinois,Bookcases                                         ,Furniture,3,2014-03-24,2014-03-27
9,Sample Company A,Standard Class,290.666,2,0.15,27.3568,Corporate,West,California,Bookcases                                         ,Furniture,4,2013-05-26,2013-05-30
10,Tamara Dahlen,Second Class,145.74,3,0.0,23.3184,Consumer,South,Louisiana,Bookcases                                         ,Furniture,4,2016-08-06,2016-08-10
12,Jonathan Doherty,Standard Class,194.32,4,0.0,31.0912,Corporate,Central,Michigan,Bookcases                                         ,Furniture,6,2014-09-21,2014-09-27
13,Jonathan Doherty,Second Class,155.456,4,0.2,-7.7728,Consumer,South,Florida,Bookcases                                         ,Furniture,2,2013-08-08,2013-08-10
14,Helen Wasserman,Second Class,48.58,1,0.0,7.7728,Consumer,West,Washington,Bookcases                                         ,Furniture,2,2015-01-30,2015-02-01
15,Helen Wasserman,Standard Class,77.728,2,0.2,-3.8864,Consumer,South,North Carolina,Bookcases                                         ,Furniture,4,2016-06-15,2016-06-19
16,Keith Dawkins,Standard Class,212.94,3,0.0,57.4938,Home Office,Central,Michigan,Bookcases                                         ,Furniture,6,2013-06-14,2013-06-20
18,Pauline Chand,Standard Class,321.568,2,0.2,-16.0784,Consumer,East,New York,Bookcases                                         ,Furniture,7,2016-11-24,2016-12-01
19,Roy Collins,First Class,409.9992,3,0.32,-96.4704,Consumer,Central,Texas,Bookcases                                         ,Furniture,1,2016-06-29,2016-06-30
23,Emily Phan,Second Class,241.96,2,0.0,24.196,Corporate,Central,Wisconsin,Bookcases                                         ,Furniture,5,2015-08-14,2015-08-19
24,Michael Dominguez,Standard Class,205.666,2,0.15,-12.098,Consumer,West,California,Bookcases                                         ,Furniture,5,2013-03-30,2013-04-04
25,Anne Pryor,First Class,616.998,6,0.15,-36.294,Corporate,West,California,Bookcases                                         ,Furniture,3,2013-10-28,2013-10-31
26,Valerie Takahito,Standard Class,308.499,3,0.15,-18.147,Corporate,West,California,Bookcases                                         ,Furniture,5,2013-04-12,2013-04-17
27,Justin Hirsh,First Class,514.165,5,0.15,-30.245,Home Office,West,California,Bookcases                                         ,Furniture,3,2016-06-10,2016-06-13
28,Maria Zettner,Standard Class,205.666,2,0.15,-12.098,Consumer,West,California,Bookcases                                         ,Furniture,4,2015-12-04,2015-12-08
29,Maria Zettner,Standard Class,290.352,3,0.2,-36.294,Consumer,South,Florida,Bookcases                                         ,Furniture,7,2014-11-20,2014-11-27
30,Brad Thomas,Standard Class,102.833,1,0.15,-6.049,Consumer,West,California,Bookcases                                         ,Furniture,4,2016-04-16,2016-04-20
31,Penelope Sewall,Standard Class,362.94,3,0.0,36.294,Consumer,East,Maryland,Bookcases                                         ,Furniture,4,2013-09-20,2013-09-24
32,Bart Folk,First Class,120.98,1,0.0,12.098,Consumer,East,New Jersey,Bookcases                                         ,Furniture,3,2015-10-18,2015-10-21
34,Bart Folk,First Class,87.21,3,0.5,-45.3492,Consumer,East,Pennsylvania,Bookcases                                         ,Furniture,2,2016-07-07,2016-07-09
35,Karen Ferguson,Standard Class,186.048,4,0.2,9.3024,Corporate,East,New York,Bookcases                                         ,Furniture,5,2014-11-20,2014-11-25
36,Karen Ferguson,Second Class,148.257,3,0.15,15.6978,Home Office,West,California,Bookcases                                         ,Furniture,2,2016-12-09,2016-12-11
37,Matt Abelman,Second Class,174.42,3,0.0,41.8608,Consumer,West,Washington,Bookcases                                         ,Furniture,2,2016-06-11,2016-06-13
40,Erin Creighton,Second Class,222.666,2,0.15,10.4784,Consumer,West,California,Bookcases                                         ,Furniture,2,2013-11-09,2013-11-11
41,Sean Braxton,First Class,89.0664,1,0.32,-17.0274,Home Office,Central,Texas,Bookcases                                         ,Furniture,2,2016-02-18,2016-02-20
43,Liz Willingham,Standard Class,193.0656,4,0.32,-19.8744,Consumer,Central,Texas,Bookcases                                         ,Furniture,4,2013-06-20,2013-06-24
45,Sonia Sunley,Second Class,212.94,3,0.0,53.235,Corporate,Central,Missouri,Bookcases                                         ,Furniture,5,2016-01-14,2016-01-19
46,Paul Lucas,First Class,354.9,5,0.0,88.725,Consumer,South,Georgia,Bookcases                                         ,Furniture,3,2015-04-09,2015-04-12
47,Dorris Love,Standard Class,84.98,1,0.0,18.6956,Home Office,West,Washington,Bookcases                                         ,Furniture,4,2016-01-22,2016-01-26
48,Valerie Takahito,Standard Class,339.92,5,0.2,8.498,Home Office,South,Florida,Bookcases                                         ,Furniture,6,2015-11-25,2015-12-01
49,Barry French,First Class,314.352,3,0.2,-15.7176,Consumer,South,Florida,Bookcases                                         ,Furniture,1,2016-05-01,2016-05-02
50,Barry French,Standard Class,130.98,2,0.5,-89.0664,Consumer,East,Pennsylvania,Bookcases                                         ,Furniture,4,2016-08-25,2016-08-29
51,Sanjit Chand,Second Class,261.96,2,0.0,41.9136,Consumer,South,Kentucky,Bookcases                                         ,Furniture,3,2015-11-09,2015-11-12
52,Giulietta Weimer,Standard Class,556.665,5,0.15,6.549,Consumer,West,California,Bookcases                                         ,Furniture,5,2015-04-10,2015-04-15
53,Giulietta Weimer,Standard Class,240.784,1,0.2,30.098,Consumer,East,New York,Bookcases                                         ,Furniture,5,2016-02-07,2016-02-12
54,Dario Medina,Second Class,722.352,3,0.2,90.294,Consumer,East,New York,Bookcases                                         ,Furniture,3,2015-09-07,2015-09-10
56,Frank Gastineau,Second Class,204.6664,1,0.32,-6.0196,Consumer,Central,Texas,Bookcases                                         ,Furniture,4,2016-05-30,2016-06-03
57,Craig Yedwab,Standard Class,1023.332,5,0.32,-30.098,Consumer,Central,Texas,Bookcases                                         ,Furniture,5,2016-03-27,2016-04-01
59,Michelle Tran,First Class,1227.9984,6,0.32,-36.1176,Corporate,Central,Texas,Bookcases                                         ,Furniture,3,2014-03-01,2014-03-04
60,Dean Percer,Standard Class,613.9992,3,0.32,-18.0588,Consumer,Central,Texas,Bookcases                                         ,Furniture,4,2014-11-13,2014-11-17
61,Henry MacAllister,First Class,257.568,2,0.2,-28.9764,Consumer,East,New York,Bookcases                                         ,Furniture,1,2016-03-26,2016-03-27
63,Ricardo Block,Standard Class,273.666,2,0.15,-12.8784,Corporate,West,California,Bookcases                                         ,Furniture,6,2015-09-17,2015-09-23
65,Sonia Cooley,Standard Class,387.136,4,0.2,-14.5176,Home Office,South,Tennessee,Bookcases                                         ,Furniture,4,2016-04-23,2016-04-27
70,Robert Barroso,Second Class,241.96,2,0.0,41.1332,Home Office,Central,Michigan,Bookcases                                         ,Furniture,2,2016-09-22,2016-09-24
71,Robert Barroso,Standard Class,327.7328,2,0.32,-14.4588,Consumer,Central,Texas,Bookcases                                         ,Furniture,6,2016-11-17,2016-11-23
73,Tony Sayre,Second Class,119.833,1,0.15,-12.6882,Consumer,West,California,Bookcases                                         ,Furniture,5,2016-12-18,2016-12-23
75,Candace McMahon,Standard Class,451.136,4,0.2,-67.6704,Consumer,South,North Carolina,Bookcases                                         ,Furniture,6,2015-01-22,2015-01-28
77,Matt Collins,First Class,801.568,2,0.2,-10.0196,Consumer,East,New York,Bookcases                                         ,Furniture,3,2013-09-20,2013-09-23
78,Darrin Martin,Standard Class,359.499,3,0.15,-29.6058,Consumer,West,California,Bookcases                                         ,Furniture,4,2016-11-25,2016-11-29
80,Clay Rozendal,Second Class,400.784,1,0.2,-5.0098,Consumer,East,New York,Bookcases                                         ,Furniture,2,2016-06-25,2016-06-27
81,Valerie Dominguez,Second Class,704.9,5,0.0,56.392,Consumer,West,Washington,Bookcases                                         ,Furniture,2,2014-07-25,2014-07-27
82,Sam Craven,Standard Class,359.499,3,0.15,-29.6058,Consumer,West,California,Bookcases                                         ,Furniture,4,2014-12-03,2014-12-07
84,Arthur Prichep,Standard Class,220.2656,4,0.32,-42.1096,Corporate,Central,Texas,Bookcases                                         ,Furniture,4,2016-04-27,2016-05-01
85,Carlos Soltero,Standard Class,388.704,6,0.2,-4.8588,Consumer,East,New York,Bookcases                                         ,Furniture,5,2015-04-09,2015-04-14
89,Sung Chung,First Class,626.352,3,0.2,46.9764,Home Office,East,New York,Bookcases                                         ,Furniture,2,2014-10-12,2014-10-14
91,Ken Brennan,Standard Class,532.3992,3,0.32,-46.9764,Home Office,Central,Texas,Bookcases                                         ,Furniture,4,2014-12-27,2014-12-31
92,Ken Brennan,Standard Class,913.43,5,0.3,-52.196,Consumer,Central,Illinois,Bookcases                                         ,Furniture,7,2014-07-20,2014-07-27
95,Sheri Gordon,Standard Class,141.96,2,0.0,41.1684,Consumer,West,Washington,Bookcases                                         ,Furniture,7,2016-12-01,2016-12-08
96,Sheri Gordon,Standard Class,283.92,4,0.0,82.3368,Consumer,East,Delaware,Bookcases                                         ,Furniture,7,2014-02-06,2014-02-13
98,Carl Jackson,Standard Class,141.96,2,0.0,41.1684,Consumer,West,Nevada,Bookcases                                         ,Furniture,4,2014-11-21,2014-11-25
101,Tamara Chand,Standard Class,449.568,2,0.2,56.196,Consumer,East,New York,Bookcases                                         ,Furniture,5,2014-12-25,2014-12-30
104,Bill Eplett,First Class,899.136,4,0.2,112.392,Home Office,East,New York,Bookcases                                         ,Furniture,2,2014-10-12,2014-10-14
105,Harold Engle,First Class,477.666,2,0.15,84.294,Corporate,West,California,Bookcases                                         ,Furniture,2,2015-09-26,2015-09-28
106,Duane Huffman,Standard Class,301.96,2,0.0,60.392,Home Office,East,Massachusetts,Bookcases                                         ,Furniture,5,2014-07-06,2014-07-11
107,Dorothy Badders,Standard Class,205.3328,2,0.32,-36.2352,Corporate,Central,Texas,Bookcases                                         ,Furniture,4,2016-03-31,2016-04-04
108,Sarah Jordon,Standard Class,241.568,2,0.2,0.0,Consumer,South,Florida,Bookcases                                         ,Furniture,7,2016-06-03,2016-06-10
109,Susan MacKendrick,Standard Class,131.104,2,0.2,8.194,Corporate,South,Tennessee,Bookcases                                         ,Furniture,4,2014-12-27,2014-12-31
110,Susan MacKendrick,Standard Class,163.88,2,0.0,40.97,Home Office,West,Washington,Bookcases                                         ,Furniture,4,2015-09-21,2015-09-25
111,Susan MacKendrick,First Class,81.94,1,0.0,20.485,Corporate,East,Massachusetts,Bookcases                                         ,Furniture,2,2015-12-06,2015-12-08
112,Caroline Jumper,Standard Class,163.88,4,0.5,-81.94,Corporate,East,Pennsylvania,Bookcases                                         ,Furniture,5,2015-08-30,2015-09-04
114,Thomas Boland,Standard Class,435.999,3,0.15,20.5176,Corporate,West,California,Bookcases                                         ,Furniture,5,2013-09-23,2013-09-28
115,Roy French,Standard Class,512.94,3,0.0,97.4586,Consumer,Central,Wisconsin,Bookcases                                         ,Furniture,4,2014-03-08,2014-03-12
116,Darrin Van Huff,Second Class,170.98,1,0.0,32.4862,Home Office,East,Massachusetts,Bookcases                                         ,Furniture,2,2014-11-27,2014-11-29
117,Pamela Stobb,First Class,183.372,2,0.3,-36.6744,Consumer,Central,Illinois,Bookcases                                         ,Furniture,1,2016-08-03,2016-08-04
118,Pamela Stobb,Standard Class,333.999,3,0.15,3.9294,Consumer,West,California,Bookcases                                         ,Furniture,5,2013-01-13,2013-01-18
119,Helen Abelman,First Class,556.665,5,0.15,6.549,Corporate,West,California,Bookcases                                         ,Furniture,1,2016-10-27,2016-10-28
120,Sibella Parks,Standard Class,314.352,3,0.2,-15.7176,Consumer,East,New York,Bookcases                                         ,Furniture,5,2016-10-09,2016-10-14
121,Peter McVee,Standard Class,523.92,5,0.2,-26.196,Consumer,East,New York,Bookcases                                         ,Furniture,4,2015-10-01,2015-10-05
122,Peter McVee,Second Class,344.94,3,0.0,31.0446,Consumer,East,Maryland,Bookcases                                         ,Furniture,5,2015-09-04,2015-09-09
123,Thais Sissman,Second Class,195.466,2,0.15,-13.7976,Consumer,West,California,Bookcases                                         ,Furniture,2,2014-07-17,2014-07-19
124,Kean Nguyen,First Class,183.968,2,0.2,-25.2956,Consumer,East,New York,Bookcases                                         ,Furniture,2,2016-11-20,2016-11-22
